slice_type,slice_value,count,true_risk_rate,pred_risk_rate,FP_rate,FN_rate,avg_risk_score,tp,fp,fn,tn
product_type,CPU,38,0.10526315789473684,0.05263157894736842,0.05882352941003461,0.99999999975,0.2817777385964912,0,2,4,32
technology_node,10nm,55,0.01818181818181818,0.0,0.0,0.9999999989999999,0.21313346278787873,0,0,1,54
technology_node,22nm,17,0.35294117647058826,0.4117647058823529,0.5454545454049586,0.8333333331944445,0.5457117529411765,1,6,5,5
etch_tool,ETCH_03,34,0.14705882352941177,0.11764705882352941,0.10344827585850179,0.79999999984,0.3313439788235294,1,3,4,26
product_type,Memory,44,0.18181818181818182,0.18181818181818182,0.16666666666203706,0.74999999990625,0.42905461939393935,2,6,6,30
etch_tool,ETCH_05,36,0.19444444444444445,0.16666666666666666,0.13793103447800237,0.7142857141836735,0.3985176788888889,2,4,5,25
deposition_tool,DEP_03,63,0.19047619047619047,0.2222222222222222,0.19607843136870437,0.6666666666111111,0.392699793015873,4,10,8,41
implant_tool,IMP_03,52,0.11538461538461539,0.057692307692307696,0.02173913043431002,0.6666666665555555,0.3185496548717949,2,1,4,45
product_type,ASIC,28,0.35714285714285715,0.25,0.1666666666574074,0.59999999994,0.4784920914285714,4,3,6,15
litho_tool,LITHO_04,67,0.1791044776119403,0.1791044776119403,0.12727272727041322,0.5833333332847223,0.38308584019900493,5,7,7,48
litho_tool,LITHO_03,41,0.2926829268292683,0.1951219512195122,0.10344827585850179,0.5833333332847223,0.4131784588617886,5,3,7,26
litho_tool,LITHO_01,55,0.12727272727272726,0.10909090909090909,0.062499999998697923,0.5714285713469388,0.332983909090909,3,3,4,45
technology_node,14nm,43,0.37209302325581395,0.3023255813953488,0.22222222221399177,0.5624999999648438,0.5384462893023255,7,6,9,21
etch_tool,ETCH_02,57,0.19298245614035087,0.21052631578947367,0.15217391304017014,0.5454545454049586,0.4358670851461988,5,7,6,39
implant_tool,IMP_02,50,0.26,0.28,0.21621621621037254,0.5384615384201183,0.44592363919999994,6,8,7,29
implant_tool,IMP_01,98,0.21428571428571427,0.23469387755102042,0.1688311688289762,0.5238095237845805,0.41280844408163264,10,13,11,64
deposition_tool,DEP_01,95,0.16842105263157894,0.16842105263157894,0.10126582278352828,0.49999999996875,0.39128856912280696,8,8,8,71
deposition_tool,DEP_02,42,0.2857142857142857,0.23809523809523808,0.1333333333288889,0.49999999995833333,0.4143688215873016,6,4,6,26
litho_tool,LITHO_02,37,0.24324324324324326,0.3783783783783784,0.32142857141709186,0.4444444443950617,0.4971569845045045,5,9,4,19
etch_tool,ETCH_01,31,0.22580645161290322,0.12903225806451613,0.0,0.4285714285102041,0.336354960860215,4,0,3,24
technology_node,28nm,48,0.3541666666666667,0.4166666666666667,0.32258064515088447,0.41176470585813146,0.5464172266666666,10,10,7,21
etch_tool,ETCH_04,42,0.23809523809523808,0.3333333333333333,0.24999999999218753,0.39999999996,0.43886267079365077,6,8,4,24
product_type,GPU,43,0.18604651162790697,0.2558139534883721,0.1714285714236735,0.374999999953125,0.4138281981395348,5,6,3,29
product_type,FPGA,47,0.2127659574468085,0.2553191489361702,0.13513513513148284,0.29999999997,0.3944179390070922,7,5,3,32
technology_node,7nm,37,0.0,0.0,0.0,0.0,0.24149551243243236,0,0,0,37
