lot_id,wafer_id,product_type,technology_node,etch_tool,litho_tool,deposition_tool,implant_tool,pressure,temperature,exposure_time,focus_offset,dose,implant_energy,tilt_angle,yield
LOT_0001,W001,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,149.8086785,66.59537708,1.576151493,0.019829233,1.01E+15,49.53052561,6.768291154,0.678783443
LOT_0001,W002,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,147.3526252,66.49544093,1.627974402,0.022971165,1.00E+15,50.94743982,6.68222013,0.779965566
LOT_0001,W003,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,151.4843062,66.77693316,1.508568414,0.020421759,1.01E+15,49.53936123,7.171809145,0.778491865
LOT_0001,W004,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,142.9592336,67.49929395,1.491113394,0.018948083,9.90E+14,50.29656138,6.962098127,0.405274555
LOT_0001,W005,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,149.0049632,65.48352155,1.400621554,0.019901641,9.95E+14,49.1915064,7.457701059,0.935349955
LOT_0001,W006,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,137.2241198,65.99103589,1.480224177,0.019554316,9.91E+14,47.97768507,7.701979369,0.595223785
LOT_0001,W007,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,144.6566098,67.58564563,1.537596652,0.02495516,1.02E+15,50.58685709,6.504731837,0.922864891
LOT_0001,W008,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,153.6027411,64.97812525,1.48058678,0.016572438,1.01E+15,50.52644816,8.269581358,0.390798749
LOT_0001,W009,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,146.9282429,69.03154902,1.523691646,0.015043483,9.92E+14,51.15859558,7.481688065,0.89193945
LOT_0001,W010,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,156.5469099,66.37592001,1.636721108,0.021468827,1.00E+15,50.97718,6.931364091,0.656925569
LOT_0001,W011,CPU,10nm,ETCH_02,LITHO_01,DEP_03,IMP_01,152.4265869,63.53228513,1.507686255,0.021291044,1.01E+15,51.08305124,6.311165316,0.647823655
