orig_idx,failureType,y
229706,[['Edge-Ring']],3
770940,[['none']],8
684838,[['none']],8
787181,[['none']],8
727369,[['none']],8
793815,[['none']],8
706677,[['none']],8
702995,[['none']],8
201409,[['Center']],0
732735,[['none']],8
777518,[['none']],8
750187,[['none']],8
763714,[['none']],8
795739,[['none']],8
677708,[['none']],8
720841,[['none']],8
759657,[['none']],8
722961,[['none']],8
794367,[['none']],8
789042,[['none']],8
781977,[['none']],8
377116,[['Edge-Ring']],3
639781,[['none']],8
648735,[['none']],8
801988,[['none']],8
526041,[['Center']],0
720623,[['none']],8
733133,[['Edge-Loc']],2
642448,[['none']],8
652242,[['none']],8
736539,[['none']],8
709313,[['none']],8
346761,[['Edge-Ring']],3
1919,[['none']],8
398281,[['Loc']],4
653920,[['none']],8
779612,[['none']],8
244585,[['none']],8
746444,[['none']],8
654338,[['Scratch']],7
773839,[['none']],8
679703,[['none']],8
721656,[['none']],8
716947,[['none']],8
744383,[['none']],8
752823,[['none']],8
676784,[['none']],8
790832,[['none']],8
698004,[['none']],8
793948,[['none']],8
726044,[['none']],8
690474,[['none']],8
689288,[['none']],8
802389,[['none']],8
216272,[['Edge-Ring']],3
715926,[['none']],8
684779,[['none']],8
744836,[['none']],8
4076,[['none']],8
350452,[['Edge-Ring']],3
703961,[['none']],8
717977,[['none']],8
781004,[['none']],8
737978,[['none']],8
652833,[['none']],8
802165,[['none']],8
727619,[['none']],8
40774,[['Edge-Loc']],2
797893,[['none']],8
675383,[['none']],8
703582,[['none']],8
746464,[['none']],8
679067,[['Edge-Loc']],2
641788,[['none']],8
753257,[['none']],8
702109,[['none']],8
753665,[['none']],8
720664,[['none']],8
699500,[['none']],8
775834,[['none']],8
762525,[['none']],8
712917,[['none']],8
766380,[['none']],8
187823,[['Edge-Ring']],3
594703,[['Edge-Loc']],2
718858,[['none']],8
794294,[['none']],8
3815,[['none']],8
793882,[['Loc']],4
6991,[['none']],8
695274,[['none']],8
650425,[['none']],8
242319,[['none']],8
678609,[['none']],8
3529,[['none']],8
798638,[['none']],8
591462,[['Center']],0
803548,[['none']],8
329263,[['Edge-Ring']],3
800112,[['none']],8
657728,[['none']],8
268756,[['Edge-Ring']],3
697811,[['none']],8
809309,[['none']],8
199614,[['Edge-Ring']],3
773188,[['none']],8
589802,[['Center']],0
706921,[['none']],8
684996,[['none']],8
675196,[['none']],8
752333,[['none']],8
751997,[['none']],8
747237,[['none']],8
763769,[['none']],8
739835,[['none']],8
679928,[['none']],8
778264,[['none']],8
753501,[['none']],8
699576,[['none']],8
730336,[['none']],8
764795,[['Center']],0
641386,[['none']],8
645902,[['none']],8
739262,[['none']],8
753295,[['none']],8
752169,[['none']],8
759545,[['none']],8
808385,[['none']],8
753472,[['none']],8
807825,[['none']],8
710607,[['none']],8
765270,[['none']],8
772804,[['none']],8
763978,[['none']],8
748728,[['none']],8
774133,[['none']],8
772894,[['none']],8
786705,[['none']],8
750496,[['none']],8
85,[['none']],8
743352,[['Edge-Ring']],3
782860,[['none']],8
700572,[['none']],8
296060,[['Edge-Loc']],2
713558,[['none']],8
800541,[['none']],8
743645,[['none']],8
801777,[['none']],8
656164,[['none']],8
796351,[['none']],8
787640,[['none']],8
673979,[['none']],8
691665,[['Loc']],4
779965,[['none']],8
696109,[['none']],8
688735,[['none']],8
385133,[['Edge-Ring']],3
739730,[['none']],8
294354,[['Edge-Ring']],3
644318,[['none']],8
753509,[['none']],8
723342,[['none']],8
746094,[['none']],8
811132,[['none']],8
141323,[['Edge-Ring']],3
697342,[['none']],8
734795,[['none']],8
6378,[['none']],8
675310,[['none']],8
766831,[['none']],8
377522,[['Edge-Ring']],3
650004,[['none']],8
245046,[['none']],8
250535,[['none']],8
802909,[['none']],8
250418,[['none']],8
770924,[['none']],8
651,[['none']],8
782900,[['none']],8
754667,[['none']],8
730266,[['none']],8
753446,[['none']],8
676612,[['none']],8
787603,[['none']],8
43497,[['Loc']],4
525976,[['Center']],0
751575,[['none']],8
703082,[['none']],8
811220,[['none']],8
717916,[['none']],8
709687,[['none']],8
5309,[['none']],8
679147,[['none']],8
656211,[['Scratch']],7
3159,[['none']],8
695976,[['none']],8
589935,[['Center']],0
232082,[['Edge-Ring']],3
712465,[['none']],8
721766,[['none']],8
1621,[['none']],8
656235,[['none']],8
706968,[['none']],8
684194,[['Loc']],4
1069,[['none']],8
734112,[['none']],8
966,[['none']],8
756814,[['none']],8
746847,[['none']],8
749008,[['none']],8
788464,[['none']],8
704575,[['none']],8
805162,[['none']],8
698644,[['none']],8
791888,[['none']],8
758083,[['none']],8
757165,[['Edge-Loc']],2
697140,[['none']],8
680736,[['none']],8
771546,[['none']],8
806110,[['none']],8
699232,[['none']],8
648090,[['none']],8
796107,[['none']],8
684482,[['none']],8
756036,[['none']],8
752732,[['none']],8
722335,[['none']],8
652942,[['none']],8
782484,[['none']],8
690955,[['none']],8
216190,[['Edge-Ring']],3
439516,[['Edge-Ring']],3
252974,[['Edge-Loc']],2
644984,[['none']],8
751830,[['none']],8
778570,[['none']],8
703503,[['none']],8
792492,[['none']],8
722827,[['none']],8
642989,[['Center']],0
713307,[['Random']],6
808273,[['none']],8
733425,[['none']],8
645994,[['none']],8
657171,[['Loc']],4
240905,[['Edge-Ring']],3
649449,[['none']],8
797673,[['none']],8
755729,[['none']],8
681647,[['none']],8
645221,[['Edge-Loc']],2
711389,[['none']],8
767264,[['none']],8
7567,[['none']],8
693123,[['none']],8
250162,[['none']],8
717114,[['none']],8
723184,[['none']],8
809686,[['none']],8
785427,[['none']],8
416199,[['Edge-Loc']],2
748668,[['none']],8
18115,[['Random']],6
770021,[['none']],8
783847,[['none']],8
756370,[['none']],8
645926,[['none']],8
3864,[['none']],8
705668,[['none']],8
756246,[['none']],8
680573,[['none']],8
783794,[['none']],8
715754,[['none']],8
790461,[['none']],8
764850,[['Center']],0
788001,[['Scratch']],7
774249,[['none']],8
731736,[['none']],8
752679,[['none']],8
2229,[['none']],8
587529,[['Center']],0
714464,[['none']],8
742735,[['none']],8
680448,[['none']],8
746959,[['none']],8
743452,[['Edge-Ring']],3
657223,[['none']],8
1571,[['none']],8
683413,[['none']],8
649532,[['none']],8
6752,[['none']],8
252125,[['none']],8
691037,[['none']],8
758916,[['none']],8
700750,[['none']],8
786859,[['none']],8
333979,[['Edge-Ring']],3
202388,[['Edge-Ring']],3
642575,[['none']],8
3458,[['Edge-Loc']],2
740092,[['none']],8
710408,[['none']],8
678293,[['none']],8
734561,[['none']],8
268798,[['Edge-Ring']],3
723651,[['none']],8
249581,[['none']],8
689085,[['none']],8
433,[['none']],8
766559,[['none']],8
744854,[['none']],8
719311,[['none']],8
719002,[['none']],8
751073,[['none']],8
679218,[['none']],8
793868,[['none']],8
385370,[['Edge-Ring']],3
456432,[['Edge-Ring']],3
698566,[['none']],8
772422,[['none']],8
745878,[['none']],8
783049,[['none']],8
229835,[['Edge-Ring']],3
4600,[['none']],8
677382,[['none']],8
802539,[['none']],8
791758,[['Loc']],4
642262,[['none']],8
709350,[['none']],8
768915,[['none']],8
722301,[['none']],8
723377,[['none']],8
779155,[['none']],8
276150,[['Center']],0
645665,[['none']],8
236952,[['Edge-Ring']],3
808889,[['none']],8
756257,[['none']],8
795123,[['none']],8
224865,[['Edge-Ring']],3
703665,[['none']],8
675995,[['none']],8
248536,[['Near-full']],5
767654,[['none']],8
244674,[['none']],8
660216,[['none']],8
809369,[['none']],8
216079,[['Edge-Ring']],3
784860,[['none']],8
773390,[['none']],8
682421,[['none']],8
795384,[['none']],8
680396,[['none']],8
