wafer_id,stage,wafers_remaining,budget_remaining,budget_remaining_after,budget_per_wafer,adjustment,tau_base,tau_adjusted,risk_score,decision,reason
W006,0,200,3000,3000,15.0,0.0,0.5773292869333333,0.5773292869333333,0.5701077593333334,pass,normal
W003,0,199,3000,3000,15.075376884422111,0.0,0.5773292869333333,0.5773292869333333,0.15886188999999998,pass,normal
W020,0,198,3000,3000,15.151515151515152,0.0,0.5773292869333333,0.5773292869333333,0.546739688,pass,normal
W006,0,197,3000,3000,15.228426395939087,0.0,0.5773292869333333,0.5773292869333333,0.20191432333333328,pass,normal
W023,0,196,3000,3000,15.306122448979592,0.0,0.5773292869333333,0.5773292869333333,0.18901567666666658,pass,normal
W013,0,195,3000,3000,15.384615384615385,0.0,0.5773292869333333,0.5773292869333333,0.54055452,pass,normal
W001,0,194,3000,3000,15.463917525773196,0.0,0.5773292869333333,0.5773292869333333,0.5732433833333334,pass,normal
W007,0,193,3000,3000,15.544041450777202,0.0,0.5773292869333333,0.5773292869333333,0.5300570213333333,pass,normal
W019,0,192,3000,2850,15.625,0.0,0.5773292869333333,0.5773292869333333,0.5967316933333333,inspect,normal
W004,0,191,2850,2850,14.921465968586388,0.0,0.5773292869333333,0.5773292869333333,0.520092568,pass,normal
W021,0,190,2850,2850,15.0,0.0,0.5773292869333333,0.5773292869333333,0.16683309466666663,pass,normal
W019,0,189,2850,2850,15.079365079365079,0.0,0.5773292869333333,0.5773292869333333,0.273454618,pass,normal
W014,0,188,2850,2850,15.159574468085106,0.0,0.5773292869333333,0.5773292869333333,0.5458248946666667,pass,normal
W012,0,187,2850,2850,15.240641711229946,0.0,0.5773292869333333,0.5773292869333333,0.5759935706666667,pass,normal
W018,0,186,2850,2850,15.32258064516129,0.0,0.5773292869333333,0.5773292869333333,0.28501886666666676,pass,normal
W015,0,185,2850,2850,15.405405405405405,0.0,0.5773292869333333,0.5773292869333333,0.2815481,pass,normal
W001,0,184,2850,2700,15.48913043478261,0.0,0.5773292869333333,0.5773292869333333,0.61114134,inspect,normal
W021,0,183,2700,2700,14.754098360655737,0.0,0.5773292869333333,0.5773292869333333,0.1259663086666666,pass,normal
W019,0,182,2700,2700,14.835164835164836,0.0,0.5773292869333333,0.5773292869333333,0.16617534333333334,pass,normal
W015,0,181,2700,2700,14.917127071823204,0.0,0.5773292869333333,0.5773292869333333,0.3752978186666666,pass,normal
W010,0,180,2700,2700,15.0,0.0,0.5773292869333333,0.5773292869333333,0.5694859433333334,pass,normal
W018,0,179,2700,2700,15.083798882681565,0.0,0.5773292869333333,0.5773292869333333,0.22625634333333328,pass,normal
W019,0,178,2700,2700,15.168539325842696,0.0,0.5773292869333333,0.5773292869333333,0.26750377666666664,pass,normal
W004,0,177,2700,2700,15.254237288135593,0.0,0.5773292869333333,0.5773292869333333,0.06560470666666662,pass,normal
